# chain=base rpc=https://base.publicnode.com contract=0x09154248ffdbaf8aa877ae8a4bf8ce1503596428
# block=40640676
tokenId,owner
317,0x76d0e7a13248945ee9f808b4a472262b28778942
318,0x46e9beef5dc68dff095eca56dadf90247f1af7ef
319,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
320,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
321,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
322,0xf8a025b42b07db05638fe596cce339707ec3cc71
323,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
324,0x76d0e7a13248945ee9f808b4a472262b28778942
325,0x76d0e7a13248945ee9f808b4a472262b28778942
327,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
328,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
329,0x09a80a434a3ea1e247dabc7ec979b7392f34b510
330,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
331,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
332,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
333,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
334,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
335,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
337,0xefbe74a2d564b5da62407d452038db32c9fd6b27
339,0x76d0e7a13248945ee9f808b4a472262b28778942
341,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
342,0x09a80a434a3ea1e247dabc7ec979b7392f34b510
343,0x76d0e7a13248945ee9f808b4a472262b28778942
344,0xb13a55d8512aec4bf7b15067d733c4c3c68f2439
346,0x76d0e7a13248945ee9f808b4a472262b28778942
348,0x5d13b662a387a0e40b9320b8759e38c1204ec5ea
349,0x76d0e7a13248945ee9f808b4a472262b28778942
352,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
353,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
356,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
358,0x76d0e7a13248945ee9f808b4a472262b28778942
359,0x76d0e7a13248945ee9f808b4a472262b28778942
360,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
361,0x76d0e7a13248945ee9f808b4a472262b28778942
362,0x76d0e7a13248945ee9f808b4a472262b28778942
363,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
364,0x09a80a434a3ea1e247dabc7ec979b7392f34b510
366,0x76d0e7a13248945ee9f808b4a472262b28778942
367,0x76d0e7a13248945ee9f808b4a472262b28778942
368,0x76d0e7a13248945ee9f808b4a472262b28778942
371,0x09a80a434a3ea1e247dabc7ec979b7392f34b510
372,0x76d0e7a13248945ee9f808b4a472262b28778942
373,0x76d0e7a13248945ee9f808b4a472262b28778942
374,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
375,0xf8a025b42b07db05638fe596cce339707ec3cc71
376,0x76d0e7a13248945ee9f808b4a472262b28778942
378,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
379,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
380,0x4932ae69f9da1ff74944680baad245cd3747d861
381,0x76d0e7a13248945ee9f808b4a472262b28778942
382,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
383,0x76d0e7a13248945ee9f808b4a472262b28778942
384,0x5d13b662a387a0e40b9320b8759e38c1204ec5ea
385,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
386,0x76d0e7a13248945ee9f808b4a472262b28778942
387,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
388,0x76d0e7a13248945ee9f808b4a472262b28778942
389,0x76d0e7a13248945ee9f808b4a472262b28778942
390,0x76d0e7a13248945ee9f808b4a472262b28778942
391,0x76d0e7a13248945ee9f808b4a472262b28778942
392,0x76d0e7a13248945ee9f808b4a472262b28778942
393,0x76d0e7a13248945ee9f808b4a472262b28778942
395,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
396,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
397,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
398,0x76d0e7a13248945ee9f808b4a472262b28778942
399,0x76d0e7a13248945ee9f808b4a472262b28778942
401,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
402,0x5d13b662a387a0e40b9320b8759e38c1204ec5ea
405,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
407,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
411,0x76d0e7a13248945ee9f808b4a472262b28778942
412,0xefbe74a2d564b5da62407d452038db32c9fd6b27
413,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
415,0x76d0e7a13248945ee9f808b4a472262b28778942
